step,train_loss,validation_loss,perplexity,learning_rate,gradient_norm,tokens_per_second,peak_ram_mb,tokens_processed,corpus_fraction,corpus_percentage,epoch_equivalent
0,,8.374466896057129,4334.956679878633,5e-06,,,399.140625,0,0.0,0.0,0.0
10,8.245493030548095,8.09259507060051,3270.162871995144,5e-05,3.0669331550598145,857.3950221111933,849.3984375,5120,0.00015328075144930393,0.015328075144930392,0.00015328075144930393
20,7.963358402252197,7.919991493225098,2751.747637132718,0.0001,1.8084248304367065,840.3242300304003,849.3984375,10240,0.00030656150289860786,0.030656150289860785,0.00030656150289860786
25,7.759133625030517,7.8322815001010895,2520.6737354282927,9.993285115672726e-05,1.6573184728622437,887.1206489620954,849.3984375,12800,0.0003832018786232598,0.03832018786232598,0.0003832018786232598
50,7.648335304260254,7.486582636833191,1783.9452743081288,9.651553168816323e-05,1.5676677227020264,888.0917159871287,868.8046875,25600,0.0007664037572465196,0.07664037572465196,0.0007664037572465196
75,7.381879425048828,7.286358535289764,1460.243578373957,8.830407518475634e-05,1.405862808227539,878.851625630962,870.671875,38400,0.0011496056358697795,0.11496056358697795,0.0011496056358697795
100,7.253377380371094,7.2179595828056335,1363.703695552702,7.624672549964284e-05,2.016350746154785,870.972948602274,870.671875,51200,0.0015328075144930393,0.15328075144930392,0.0015328075144930393
125,7.181785507202148,7.164392948150635,1292.5767015109845,6.17358431378415e-05,1.3606916666030884,855.917609479299,870.671875,64000,0.0019160093931162993,0.19160093931162991,0.0019160093931162993
150,7.198989601135254,7.143544673919678,1265.907675525491,4.644711803297769e-05,1.7005747556686401,874.909954125663,870.671875,76800,0.002299211271739559,0.2299211271739559,0.002299211271739559
175,7.085949230194092,7.113323122262955,1228.2223047660857,3.214606396411873e-05,1.566384196281433,865.3280108141219,870.671875,89600,0.002682413150362819,0.2682413150362819,0.002682413150362819
200,7.047592506408692,7.093171924352646,1203.71985997036,2.0484140280594286e-05,1.466617465019226,868.3048869980256,870.671875,102400,0.0030656150289860786,0.30656150289860784,0.0030656150289860786
225,7.079185180664062,7.080901741981506,1189.040242731681,1.280804442201909e-05,1.5088223218917847,877.1234884408543,870.671875,115200,0.0034488169076093383,0.34488169076093383,0.0034488169076093383
250,7.052769145965576,7.072652369737625,1179.2717545014182,1.0004197781596508e-05,1.6998388767242432,855.1670045748177,870.671875,128000,0.0038320187862325985,0.38320187862325983,0.0038320187862325985
