step,stage,train_loss,stage_validation_loss,general_validation_loss,university_validation_loss,conversation_validation_loss,learning_rate,gradient_norm,gradient_clipping_count,nan_count,inf_count,tokens_per_second,step_time_seconds,memory_usage_mb,eta_seconds
500,A,0.8838272246718407,3.4334288477897643,3.4703498601913454,6.487994050979614,6.391394138336182,0.00024940775860532016,3.813992977142334,500,0,0,461.5944641389548,0.17114589999982854,667.046875,770.1565499992284
1000,A,0.366811890155077,3.5816243648529054,3.619754123687744,7.2599719047546385,7.08004355430603,0.00010669878133641634,2.3245036602020264,1000,0,0,392.6308495374228,0.18847219999952358,668.16015625,753.8887999980943
1500,B,0.539280107319355,0.43536650389432907,5.038641786575317,0.3656862437725067,3.7784625053405763,9.445321997157188e-05,2.5069658756256104,500,0,0,663.9931672713919,0.2966898000013316,782.3203125,1038.4143000046606
2000,B,0.2762939433008432,0.28462374955415726,3.6963589668273924,0.25529031455516815,4.086678767204285,1.5000411233099149e-05,1.6782225370407104,500,0,0,695.0578062562388,0.27048110000032466,784.23828125,811.443300000974
2500,C,0.7693809434771538,0.44330154517665504,3.525094437599182,0.2255110874772072,0.5420792669057846,7.668907122249991e-05,11.90884780883789,1000,0,0,186.8570390071048,0.3906729999998788,822.0390625,976.682499999697
3000,C,0.4356040819734335,0.3104712675092742,3.6958226442337034,0.17613057792186737,0.390112167596817,6.42350016026767e-05,3.54752516746521,1499,0,0,285.6262028515198,0.322099299999536,800.1015625,644.198599999072
3500,C,0.3378797587426379,0.2737997640040703,3.6166974544525146,0.18141295835375787,0.3016402430832386,4.59879414435325e-05,3.149932622909546,1988,0,0,183.50886568170725,0.1362331999989692,835.64453125,204.34979999845382
4000,C,0.27861772877164187,0.20742485601222144,3.691296029090881,0.13645242899656296,0.22710563689470292,2.7171762180706838e-05,1.0987595319747925,2462,0,0,737.3362499062148,0.2807403000006161,854.9453125,280.7403000006161
4500,C,0.22755758851766586,0.15696503838407808,3.662993288040161,0.12077433839440346,0.17484180852770806,1.3173265881035166e-05,1.100554347038269,2900,0,0,793.0279687069417,0.26606879999962985,829.5234375,133.03439999981492
5000,C,0.20986534619005398,0.13568179266294464,3.7347837686538696,0.11785899102687836,0.15404494106769562,8.0000211240026e-06,6.248992919921875,3316,0,0,280.8131371710919,0.16381000000001222,838.6484375,0.0
